NDC,ICD,RXCUI
10202025968,I24.8,2047428
10202041678,I24.8,1730187
70000021801,I24.8,2047427
61786033519,I24.8,2565492
16103035609,I24.8,904664
61786068519,I24.8,904668
33261015200,I24.8,1001476
440713509,I24.8,1052416
75942000110,I24.8,1052678
50090055201,I24.8,1053327
54569423301,I24.8,1101754
68788892501,I24.8,1189781
57896098501,I24.8,1247397
68071420001,I24.8,1247402
61786053202,I24.8,1250909
64725098101,I24.8,1293665
59779041405,I24.8,1303159
21130041412,I24.8,1304215
76000041432,I24.8,1358853
41163041412,I24.8,1359083
55910041412,I24.8,1361402
62049000100,I24.8,1362082
67060023268,I24.8,1536680
49738078101,I24.8,1536835
62011001901,I24.8,1537012
17856090101,I24.8,1593116
62732800601,I24.8,1600991
63981056351,I24.8,1665362
68151290402,I24.8,1722695
63187088230,I24.8,1811916
17714001001,I24.8,1811918
17714012106,I24.8,1872088
50844024929,I24.8,1925790
30142002702,I24.8,1944113
30142010318,I24.8,209468
24385042902,I24.8,209823
51824054701,I24.8,210864
71335060801,I24.8,211292
68391022705,I24.8,211297
50804022712,I24.8,211310
68196060051,I24.8,211832
41163015712,I24.8,211874
68196090051,I24.8,211881
51824016436,I24.8,211887
63548022701,I24.8,211891
62011000301,I24.8,212086
33992227006,I24.8,2563428
21130064506,I24.8,2563431
68196015714,I24.8,260847
50844021807,I24.8,387090
50844015712,I24.8,608696
50844056332,I24.8,702320
50844095729,I24.8,723530
21130060006,I24.8,723533
21130060014,I24.8,724444
21130060027,I24.8,749795
21130060032,I24.8,794229
30142041678,I24.8,797053
63187071736,I24.8,825180
70000010301,I24.8,830530
55319049213,I24.8,848166
68788018602,I24.8,848928
30142010418,I24.8,853501
30142027468,I24.8,896876
70000017801,I24.8,994239
63941044012,I24.8,994277
63981022714,I24.8,994537
64092011960,I24.8,994539
63868035203,I24.8,103863
36800003018,I24.8,103954
54738011101,I24.8,104474
54738012836,I24.8,104475
63940021807,I24.8,104899
63941022712,I24.8,106809
53185024912,I24.8,1092398
37205066878,I24.8,1234872
37205075776,I24.8,1250907
70385200502,I24.8,1291868
70000025301,I24.8,1433630
363645007,I24.8,1536467
76000023112,I24.8,1536498
363021807,I24.8,1536503
363043929,I24.8,1536675
35356090030,I24.8,1536815
55154147300,I24.8,1536833
41250011811,I24.8,1536840
55301022712,I24.8,1536993
55301060032,I24.8,1537019
55301082107,I24.8,1537029
55312007712,I24.8,1593110
65437003805,I24.8,1665356
30142046708,I24.8,1722689
54738055903,I24.8,1811631
55315010318,I24.8,1811632
55315015717,I24.8,1872085
55315021807,I24.8,197447
55315060017,I24.8,197930
55316022712,I24.8,197945
363022714,I24.8,198461
536105429,I24.8,198463
536308610,I24.8,198464
63941010310,I24.8,198466
41163037012,I24.8,198467
56062025968,I24.8,198471
56062044012,I24.8,198473
41250037112,I24.8,198475
57896090401,I24.8,198477
76168000910,I24.8,198479
42507037012,I24.8,198480
55301015712,I24.8,199281
11673037130,I24.8,205251
70518069900,I24.8,212033
54738054101,I24.8,2176259
55154074808,I24.8,2267026
41250041678,I24.8,2360605
574703412,I24.8,238134
363015712,I24.8,238135
42507002712,I24.8,2393784
363056306,I24.8,2394061
48433030501,I24.8,243670
55312010320,I24.8,243685
55312010402,I24.8,243694
11788030204,I24.8,247137
59779072712,I24.8,2474495
59779073378,I24.8,252857
55154149400,I24.8,2565491
59726022703,I24.8,2583731
65923024912,I24.8,259081
65923050700,I24.8,308278
41163091807,I24.8,308297
41163094506,I24.8,308363
41520037012,I24.8,308403
55910094512,I24.8,308409
56062053576,I24.8,308411
42507046768,I24.8,308416
57344008101,I24.8,308417
41250027408,I24.8,318272
41520044012,I24.8,333834
55910024929,I24.8,349516
55910056317,I24.8,359221
57344010501,I24.8,391930
11788030105,I24.8,432638
49035015706,I24.8,433353
57344014601,I24.8,605252
55315022703,I24.8,637540
904201959,I24.8,685589
615786339,I24.8,688214
57896010925,I24.8,692836
57896090101,I24.8,702316
41520003018,I24.8,724614
574703612,I24.8,763111
615356830,I24.8,763116
55670013113,I24.8,797050
440113090,I24.8,827318
536105301,I24.8,828585
904404073,I24.8,828594
56062002712,I24.8,848768
46994060032,I24.8,853499
11673002703,I24.8,857121
46122026248,I24.8,863184
59726002103,I24.8,863186
11534007305,I24.8,891134
59779077287,I24.8,891136
59779094507,I24.8,892160
67091011010,I24.8,896884
52124001101,I24.8,900470
59779046708,I24.8,900528
59779060006,I24.8,994226
904628880,I24.8,994237
49781009653,I24.8,994430
49781009752,I24.8,994435
15127024136,I24.8,994528
15127073801,I24.8,994535
49035037003,I24.8,994810
11534015511,I24.8,994811
46122018076,I24.8,996988
46994015733,I24.8,996991
48433030301,I24.8,996994
62732800501,I24.8,
21130091807,I24.8,
59779060532,I24.8,
50332010201,I24.8,
59779015708,I24.8,
59779027408,I24.8,
49348098015,I24.8,
49483001100,I24.8,
59779043929,I24.8,
68016069018,I24.8,
21130095712,I24.8,
50844060001,I24.8,
68016074710,I24.8,
63868035445,I24.8,
17714000936,I24.8,
17714001101,I24.8,
21130039707,I24.8,
63868036320,I24.8,
36800002712,I24.8,
30142037012,I24.8,
33992024906,I24.8,
64092011099,I24.8,
69189404001,I24.8,
63940060962,I24.8,
63941024912,I24.8,
63941039707,I24.8,
42507027468,I24.8,
55312025968,I24.8,
55312046768,I24.8,
41250046708,I24.8,
41520015778,I24.8,
37808015714,I24.8,
55315010418,I24.8,
55315039707,I24.8,
41163052202,I24.8,
41163079707,I24.8,
76000037012,I24.8,
49348098115,I24.8,
49781009551,I24.8,
46122018248,I24.8,
76413030324,I24.8,
70000010201,I24.8,
70000010501,I24.8,
70000010701,I24.8,
49738007703,I24.8,
536100410,I24.8,
536329736,I24.8,
15127087436,I24.8,
49483005200,I24.8,
49638048136,I24.8,
61715004058,I24.8,
60760004724,I24.8,
49614053531,I24.8,
57344008001,I24.8,
15127022865,I24.8,
49483033400,I24.8,
68016008903,I24.8,
68016064212,I24.8,
68016025420,I24.8,
68016068936,I24.8,
50090294000,I24.8,
50090283200,I24.8,
50090161704,I24.8,
21130015712,I24.8,
21130021807,I24.8,
63187029772,I24.8,
63629282501,I24.8,
53808102801,I24.8,
52204011199,I24.8,
63739052201,I24.8,
21695066600,I24.8,
69168031806,I24.8,
54868119800,I24.8,
