CPT Code,Invalid Gender,Description
00842,M,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; AMNIOCENTESIS
00846,M,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; RADICAL HYSTERECTOMY
00851,M,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; TUBAL LIGATION/TRANSECTION
00865,F,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)"
00906,M,ANESTHESIA FOR; VULVECTOMY
00908,F,ANESTHESIA FOR; PERINEAL PROSTATECTOMY
00914,F,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE
00920,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); NOT OTHERWISE SPECIFIED
00921,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); VASECTOMY, UNILATERAL OR BILATERAL"
00922,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); SEMINAL VESICLES
00924,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); UNDESCENDED TESTIS, UNILATERAL OR BILATERAL"
00926,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL ORCHIECTOMY, INGUINAL"
00928,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL ORCHIECTOMY, ABDOMINAL"
00930,F,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); ORCHIOPEXY, UNILATERAL OR BILATERAL"
00932,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); COMPLETE AMPUTATION OF PENIS
00934,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL LYMPHADENECTOMY
00936,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL AND ILIAC LYMPHADENEC
00938,F,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); INSERTION OF PENILE PROSTHESIS (PERINEAL APPROACH)
00940,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); NOT OTHERWISE SPECIFIED"
00942,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); COLPOTOMY, VAGINECTOMY, COLPORRHAPHY, AND OPEN URETHIA"
00944,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); VAGINAL HYSTERECTOMY"
00948,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); CERVICAL CERCLAGE"
00950,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); CULDOSCOPY"
00952,M,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX, OR ENDOMETRIUM); HYSTEROSCOPY AND/OR HYSTEROSALPINGOGRAPHY"
01960,M,ANESTHESIA FOR VAGINAL DELIVERY ONLY
01961,M,ANESTHESIA FOR CESAREAN DELIVERY ONLY
01962,M,ANESTHESIA FOR URGENT HYSTERECTOMY FOLLOWING DELIVERY
01963,M,ANESTHESIA FOR CESAREAN HYSTERECTOMY WITHOUT ANY LABOR ANALGESIA/ANESTHESIA CARE
