ICD9 Code,Alternate Code,ICD10 Code,Valid Beginning Age,Valid End Age,Applicability
7703,770.3,P26.1,0,0,is only applicable to newborns of age 0 years
7703,770.3,P26.8,0,0,is only applicable to newborns of age 0 years
7703,770.3,P26.0,0,0,is only applicable to newborns of age 0 years
7703,770.3,P26.9,0,0,is only applicable to newborns of age 0 years
7980,798.0,R99,0,17,is only applicable to pediatric patients aged 0 - 17 years inclusive
27701,277.01,E84.11,0,0,is only applicable to newborns of age 0 years
37555,375.55,H04.539,0,0,is only applicable to newborns of age 0 years
37555,375.55,H04.531,0,0,is only applicable to newborns of age 0 years
37555,375.55,H04.532,0,0,is only applicable to newborns of age 0 years
37555,375.55,H04.533,0,0,is only applicable to newborns of age 0 years
65950,659.50,O09.519,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65951,659.51,O09.511,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65951,659.51,O09.512,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65951,659.51,O09.513,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65953,659.53,O09.511,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65953,659.53,O09.512,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65953,659.53,O09.513,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65960,659.60,O09.529,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65961,659.61,O09.521,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65961,659.61,O09.522,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65961,659.61,O09.523,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65963,659.63,O09.521,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65963,659.63,O09.522,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
65963,659.63,O09.523,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive
77931,779.31,P92.1,0,0,is only applicable to newborns of age 0 years
77931,779.31,P92.2,0,0,is only applicable to newborns of age 0 years
77931,779.31,P92.8,0,0,is only applicable to newborns of age 0 years
77931,779.31,P92.9,0,0,is only applicable to newborns of age 0 years
77931,779.31,P92.3,0,0,is only applicable to newborns of age 0 years
77931,779.31,P92.4,0,0,is only applicable to newborns of age 0 years
77931,779.31,P92.5,0,0,is only applicable to newborns of age 0 years
77932,779.32,P92.01,0,0,is only applicable to newborns of age 0 years
77933,779.33,P92.09,0,0,is only applicable to newborns of age 0 years
77934,779.34,P92.6,0,0,is only applicable to newborns of age 0 years
78091,780.91,R68.12,0,0,is only applicable to newborns of age 0 years
78092,780.92,R68.11,0,0,is only applicable to newborns of age 0 years
V2031,V20.31,Z00.110,0,0,is only applicable to newborns of age 0 years
V2032,V20.32,Z00.111,0,0,is only applicable to newborns of age 0 years
V2381,V23.81,O09.511,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2381,V23.81,O09.512,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2381,V23.81,O09.513,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2381,V23.81,O09.519,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2382,V23.82,O09.521,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2382,V23.82,O09.522,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2382,V23.82,O09.523,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2382,V23.82,O09.529,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2383,V23.83,O09.611,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2383,V23.83,O09.612,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2383,V23.83,O09.613,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2383,V23.83,O09.619,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2384,V23.84,O09.621,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2384,V23.84,O09.622,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2384,V23.84,O09.623,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V2384,V23.84,O09.629,12,55,is only applicable to maternity patients aged 12 - 55 years inclusive.
V290,V29.0,P00.2,0,0,is only applicable to newborns of age 0 years
V291,V29.1,P00.89,0,0,is only applicable to newborns of age 0 years
V292,V29.2,P00.3,0,0,is only applicable to newborns of age 0 years
V293,V29.3,P00.89,0,0,is only applicable to newborns of age 0 years
V298,V29.8,P00.89,0,0,is only applicable to newborns of age 0 years
V299,V29.9,P00.9,0,0,is only applicable to newborns of age 0 years
V3000,V30.00,Z38.00,0,0,is only applicable to newborns of age 0 years
V3000,V30.00,Z38.2,0,0,is only applicable to newborns of age 0 years
V3001,V30.01,Z38.01,0,0,is only applicable to newborns of age 0 years
