ICD9Code,Alternate Code,ICD10Code,Invalid Gender,Concept Name
179,179,C55,M,Malig neopl uterus NOS
181,181,C58,M,Malignant neopl placenta
185,185,C61,F,Malign neopl prostate
220,22.0,D27.9,M,Benign neoplasm ovary
220,22.0,D27.0,M,Benign neoplasm ovary
220,22.0,D27.1,M,Benign neoplasm ovary
605,605,N47.0,F,Redun prepuce & phimosis
605,605,N47.1,F,Redun prepuce & phimosis
605,605,N47.2,F,Redun prepuce & phimosis
605,605,N47.5,F,Redun prepuce & phimosis
605,605,N47.8,F,Redun prepuce & phimosis
605,605,N47.3,F,Redun prepuce & phimosis
605,605,N47.4,F,Redun prepuce & phimosis
605,605,N47.7,F,Redun prepuce & phimosis
630,630,O01.9,M,Hydatidiform mole
630,630,O01.0 ,M,Hydatidiform mole
630,630,O01.1,M,Hydatidiform mole
632,632,O02.1,M,Missed abortion
650,650,O80,M,Normal delivery
677,677,O94,M,Late effct cmplcatn preg
1121,112.1,B37.3,M,Candidal vulvovaginitis
01640,016.40,A18.15,F,TB epididymis-unspec
01641,016.41,A18.15,F,TB epididymis-no exam
01642,016.42,A18.15,F,TB epididymis-exam unkn
01643,016.43,A18.15,F,TB epididymis-micro dx
1644,016.44,A18.15,F,TB epididymis-cult dx
1645,016.45,A18.15,F,TB epididymis-histo dx
1646,016.46,A18.15,F,TB epididymis-oth test
01650,016.50,A18.14,F,TB male genit NEC-unspec
01650,016.50,A18.15,F,TB male genit NEC-unspec
01651,016.51,A18.14,F,TB male gen NEC-no exam
01651,016.51,A18.15,F,TB male gen NEC-no exam
01652,016.52,A18.14,F,TB male gen NEC-ex unkn
01652,016.52,A18.15,F,TB male gen NEC-ex unkn
01653,016.53,A18.14,F,TB male gen NEC-micro dx
01653,016.53,A18.15,F,TB male gen NEC-micro dx
01654,016.54,A18.14,F,TB male gen NEC-cult dx
01654,016.54,A18.15,F,TB male gen NEC-cult dx
01655,016.55,A18.14,F,TB male gen NEC-histo dx
01655,016.55,A18.15,F,TB male gen NEC-histo dx
01656,016.56,A18.14,F,TB male gen NEC-oth test
01656,016.56,A18.15,F,TB male gen NEC-oth test
01660,016.60,A18.17,M,TB ovary & tube-unspec
01661,016.61,A18.17,M,TB ovary & tube-no exam
01662,016.62,A18.17,M,TB ovary/tube-exam unkn
01663,016.63,A18.17,M,TB ovary & tube-micro dx
01664,016.64,A18.17,M,TB ovary & tube-cult dx
01665,016.65,A18.17,M,TB ovary & tube-histo dx
01666,016.66,A18.17,M,TB ovary & tube-oth test
01670,016.70,A18.17,M,TB female gen NEC-unspec
01671,016.71,A18.17,M,TB fem gen NEC-no exam
01672,016.72,A18.17,M,TB fem gen NEC-exam unkn
01673,016.73,A18.17,M,TB fem gen NEC-micro dx
01674,016.74,A18.17,M,TB fem gen NEC-cult dx
01675,016.75,A18.17,M,TB fem gen NEC-histo dx
01676,016.76,A18.17,M,TB fem gen NEC-oth test
1740,17.40,C50.019,M,Malig neo nipple
1740,17.40,C50.011,M,Malig neo nipple
1740,17.40,C50.012,M,Malig neo nipple
1741,174.1,C50.119,M,Mal neo breast-central
1741,174.1,C50.111,M,Mal neo breast-central
1741,174.1,C50.112,M,Mal neo breast-central
1742,174.2,C50.219,M,Mal neo breast up-inner
1742,174.2,C50.211,M,Mal neo breast up-inner
1742,174.2,C50.212,M,Mal neo breast up-inner
1743,174.3,C50.319,M,Mal neo breast low-inner
1743,174.3,C50.311,M,Mal neo breast low-inner
1743,174.3,C50.312,M,Mal neo breast low-inner
1744,174.4,C50.419,M,Mal neo breast up-outer
1744,174.4,C50.411,M,Mal neo breast up-outer
1744,174.4,C50.412,M,Mal neo breast up-outer
1745,174.5,C50.519,M,Mal neo breast low-outer
1745,174.5,C50.511,M,Mal neo breast low-outer
1745,174.5,C50.512,M,Mal neo breast low-outer
1746,174.6,C50.619,M,Mal neo breast-axillary
1746,174.6,C50.611,M,Mal neo breast-axillary
1746,174.6,C50.612,M,Mal neo breast-axillary
1748,174.8,C50.819,M,Malign neopl breast NEC
1748,174.8,C50.811,M,Malign neopl breast NEC
1748,174.8,C50.812,M,Malign neopl breast NEC
1749,174.9,C50.919,M,Malign neopl breast NOS
1749,174.9,C50.911,M,Malign neopl breast NOS
1749,174.9,C50.912,M,Malign neopl breast NOS
1750,175.0,C50.029,F,Mal neo male nipple
1750,175.0,C50.021,F,Mal neo male nipple
1750,175.0,C50.022,F,Mal neo male nipple
1759,175.9,C50.129,F,Mal neo male breast NEC
1759,175.9,C50.121,F,Mal neo male breast NEC
1759,175.9,C50.122,F,Mal neo male breast NEC
1759,175.9,C50.229,F,Mal neo male breast NEC
1759,175.9,C50.221,F,Mal neo male breast NEC
1759,175.9,C50.222,F,Mal neo male breast NEC
1759,175.9,C50.329,F,Mal neo male breast NEC
1759,175.9,C50.321,F,Mal neo male breast NEC
